Address,Location,Type,,Tags
10.224.2.23,dg-core-prd,IP Netmask,,PCI
10.224.2.23-10.224.2.24,dg-core-prd,IP Range,,PCI
10.224.2.23-10.224.2.26,dg-core-prd,IP Range,,PCI
10.224.2.24,dg-core-prd,IP Netmask,,PCI
10.224.2.25,dg-core-prd,IP Netmask,,PCI
10.224.2.25-10.224.2.26,dg-core-prd,IP Range,,PCI
10.224.2.26,dg-core-prd,IP Netmask,,PCI
10.224.2.26-10.224.2.28,dg-core-prd,IP Range,,PCI
10.224.2.27,dg-core-prd,IP Netmask,,PCI
10.224.2.28,dg-core-prd,IP Netmask,,PCI
10.224.2.29,dg-core-prd,IP Netmask,,PCI
10.224.2.31,dg-core-prd,IP Netmask,,PCI
10.224.2.4,dg-core-prd,IP Netmask,,PCI
10.224.2.4-10.224.2.15,dg-core-prd,IP Range,,PCI
10.224.2.4-10.224.2.26,dg-core-prd,IP Range,,PCI
10.224.2.4-10.224.2.30,dg-core-prd,IP Range,,PCI
10.224.2.4-10.224.2.6,dg-core-prd,IP Range,,PCI
10.224.2.5,dg-core-prd,IP Netmask,,PCI
10.224.2.6,dg-core-prd,IP Netmask,,PCI
10.224.2.7,dg-core-prd,IP Netmask,,PCI
10.224.2.7-10.224.2.8,dg-core-prd,IP Range,,PCI
10.224.2.8,dg-core-prd,IP Netmask,,PCI
10.224.2.8-10.224.2.26,dg-core-prd,IP Range,,PCI
10.224.2.9,dg-core-prd,IP Netmask,,PCI
10.224.2.9-10.224.2.10,dg-core-prd,IP Range,,PCI
10.230.0.0/23,dg-core-prd,IP Netmask,,
10.230.0.0/24,dg-core-prd,IP Netmask,,
10.230.0.132-10.230.0.134,dg-core-prd,IP Range,,
10.230.0.133/32,dg-core-prd,IP Netmask,,
10.230.0.134,dg-core-prd,IP Netmask,,
10.230.0.135,dg-core-prd,IP Netmask,,
10.230.0.254,dg-core-prd,IP Netmask,,
10.230.0.0/25,dg-core-prd,IP Netmask,,PCI
10.230.0.4,dg-core-prd,IP Netmask,,PCI
10.230.0.6,dg-core-prd,IP Netmask,,PCI
10.230.0.7,dg-core-prd,IP Netmask,,PCI
10.230.0.9,dg-core-prd,IP Netmask,,PCI
10.230.0.128/25,dg-core-prd,IP Netmask,,PCI
10.224.29.0/24,dg-core-prd,IP Netmask,,PCI
10.224.10.0/24,dg-core-prd,IP Netmask,,
10.224.10.10,dg-core-prd,IP Netmask,,PCI
10.224.10.11,dg-core-prd,IP Netmask,,PCI
10.224.10.12,dg-core-prd,IP Netmask,,PCI
10.224.10.13,dg-core-prd,IP Netmask,,PCI
10.224.10.16,dg-core-prd,IP Netmask,,PCI
10.224.10.17,dg-core-prd,IP Netmask,,PCI
10.224.10.18,dg-core-prd,IP Netmask,,PCI
10.224.10.19,dg-core-prd,IP Netmask,,PCI
10.224.10.20,dg-core-prd,IP Netmask,,PCI
10.224.10.21,dg-core-prd,IP Netmask,,PCI
10.224.10.22,dg-core-prd,IP Netmask,,PCI
10.224.10.23,dg-core-prd,IP Netmask,,PCI
10.224.10.24,dg-core-prd,IP Netmask,,PCI
10.224.10.25,dg-core-prd,IP Netmask,,PCI
10.224.10.26/26,dg-core-prd,IP Netmask,,PCI
10.224.10.28,dg-core-prd,IP Netmask,,PCI
10.224.10.28-10.224.10.41,dg-core-prd,IP Range,,PCI
10.224.10.29/32,dg-core-prd,IP Netmask,,PCI
10.224.10.30/32,dg-core-prd,IP Netmask,,PCI
10.224.10.4,dg-core-prd,IP Netmask,,PCI
10.224.10.4-10.224.10.5,dg-core-prd,IP Range,,PCI
10.224.10.43,dg-core-prd,IP Netmask,,PCI
10.224.10.5,dg-core-prd,IP Netmask,,PCI
10.224.10.6,dg-core-prd,IP Netmask,,PCI
10.224.10.6-10.224.10.8,dg-core-prd,IP Range,,PCI
10.224.10.7,dg-core-prd,IP Netmask,,PCI
10.224.10.8,dg-core-prd,IP Netmask,,PCI
10.224.10.9,dg-core-prd,IP Netmask,,PCI
10.231.1.0/26,dg-core-prd,IP Netmask,,PCI
10.231.1.4,dg-core-prd,IP Netmask,,PCI
10.231.1.5,dg-core-prd,IP Netmask,,PCI
10.224.6.0/24,dg-core-prd,IP Netmask,,PCI
10.224.6.10,dg-core-prd,IP Netmask,,PCI
10.224.6.10-10.224.6.11,dg-core-prd,IP Range,,PCI
10.224.6.10-10.224.6.15,dg-core-prd,IP Range,,PCI
10.224.6.11,dg-core-prd,IP Netmask,,PCI
10.224.6.12,dg-core-prd,IP Netmask,,PCI
10.224.6.13,dg-core-prd,IP Netmask,,PCI
10.224.6.14,dg-core-prd,IP Netmask,,PCI
